epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.15691443686957962,0.05271168237857312,0.056190003827214244,,,0.15117545025784865,0.547432,0.5476318
0,199,0.24715310570387178,0.1006402441990929,0.10125000774860382,,,0.23910136129096665,0.5758426,0.5816291
1,199,0.343635893214857,0.16315205685841636,0.1527000069618225,,,0.33223383516540467,0.6018671,0.609831
2,199,0.41605348415851695,0.20308780189464776,0.19140000343322755,,,0.40342037871522646,0.6232472,0.6303691
3,199,0.46145718663120927,0.23192877162381986,0.2172099992632866,,,0.44918112352573253,0.6383464,0.6459789
4,199,0.49051597249011786,0.2544567807201026,0.23686999827623367,,,0.4781243992473284,0.6473981,0.6537788
5,199,0.5139074347187549,0.27320329057025045,0.2538400053977966,,,0.5020358579286092,0.6556711,0.6619256
6,199,0.5346254706188417,0.2909731905286826,0.2684000045061111,,,0.5225196059579081,0.6614254,0.6668435
7,199,0.554204362095811,0.3072207481511098,0.2826200008392334,,,0.5421436195711337,0.669358,0.6752154
8,199,0.57141528359572,0.322763831566224,0.2958400100469589,,,0.559676487517855,0.6755544,0.6812644
9,199,0.5778454251285348,0.33020778955738883,0.30217000246047976,,,0.5661187440345823,0.6779096,0.6830254
10,199,0.5937255298914021,0.34389580510780726,0.314490008354187,,,0.5815222022563218,0.6837853,0.6888678
11,199,0.604328149619403,0.35476027331019794,0.3244700074195862,,,0.592489274205382,0.6883607,0.6938002
12,199,0.6154228867791034,0.3639609489667387,0.3329800099134445,,,0.6034311027322087,0.6930211,0.6981954
13,199,0.6307156251398991,0.3752056973921624,0.34317000210285187,,,0.6190100512070552,0.6982059,0.7030979
14,199,0.6372671994924543,0.38793929942350563,0.3524499982595444,,,0.6253732134703164,0.6994923,0.7032442
15,199,0.6482331061282534,0.39401752643094556,0.35858999490737914,,,0.6368405400636062,0.7053091,0.7097245
16,199,0.6543759600651662,0.4026901250199023,0.36353999376296997,,,0.6428795668977216,0.7072784,0.7113588
17,199,0.6632420794601169,0.40952559971365643,0.37273000478744506,,,0.6519854847742725,0.7120167,0.7165119
18,199,0.6717368945252854,0.41655540557245707,0.3791400045156479,,,0.6601237835727404,0.7143557,0.7177384
19,199,0.6750957070686262,0.42341607614620624,0.3839500069618225,,,0.6634376471387035,0.71683,0.7210175
20,199,0.686272406107389,0.43284602009984086,0.39124001264572145,,,0.6750167357295089,0.7207947,0.7240702
21,199,0.6927906229117683,0.4386611394948443,0.3979299932718277,,,0.6815788338272626,0.7248544,0.7292265
22,199,0.7033869058776564,0.4468238620323663,0.40550000965595245,,,0.6926933722386032,0.7298452,0.7339355
23,199,0.7058314586956171,0.4519131383241179,0.4104300230741501,,,0.6950037258778139,0.7311346,0.7350062
24,199,0.7159048257850233,0.46141907796233267,0.41723000109195707,,,0.70535115488784,0.7349634,0.7388212
25,199,0.7223714247633392,0.46627061772817735,0.42226001918315886,,,0.7118263308643448,0.7376183,0.740627
26,199,0.7256118464361718,0.471515567057061,0.4263600170612335,,,0.7153415155435401,0.7398136,0.7430805
27,199,0.7321155079747365,0.47753755946788434,0.4332100123167038,,,0.7216519538566498,0.7422066,0.7448587
28,199,0.736242949160297,0.48468901911991524,0.4391600102186203,,,0.725887320395495,0.7459242,0.750047
29,199,0.7436065250196047,0.4935291499685498,0.4446799963712692,,,0.7332835872328165,0.7492909,0.7534058
30,199,0.7501056511744963,0.49910080007702484,0.4517700165510178,,,0.7401547954009714,0.7517617,0.7549819
31,199,0.7523751503947914,0.503719537774409,0.4542600095272064,,,0.7423083451030319,0.7523709,0.7547695
32,199,0.7620563110831825,0.5088498286200589,0.4625700145959854,,,0.7525243762358739,0.7584387,0.7622083
33,199,0.7640871663954548,0.5113285096958908,0.4657499998807907,,,0.7544538032079322,0.7594089,0.763046
34,199,0.7648043107543409,0.5149441273675256,0.4679399937391281,,,0.7552109863697996,0.759713,0.7628417
35,199,0.7731195621990522,0.5247258234134351,0.4754599958658218,,,0.7639167580542392,0.7634167,0.7662881
36,199,0.7802742124249515,0.5343407358235062,0.48397999107837675,,,0.771175583190089,0.7671817,0.7697048
37,199,0.7812777047205349,0.5362606440631948,0.4862700134515762,,,0.7721697524371632,0.7684626,0.7717416
38,199,0.7897298193263718,0.5434812936950453,0.49320000410079956,,,0.7808093844457189,0.772307,0.7748962
39,199,0.7925682301089558,0.5501501439332626,0.49851999878883363,,,0.7835742708266291,0.7741892,0.7774301
40,199,0.8000954609588964,0.5535264165938442,0.5049599975347518,,,0.7913319997919761,0.7784672,0.7818309
41,199,0.8017206835015888,0.5569795298058642,0.5066700041294098,,,0.7931775379974261,0.7795823,0.7828438
42,199,0.8094169502908544,0.5677968980646979,0.5157499969005584,,,0.801102181702135,0.7832216,0.7857452
43,199,0.8138988179507667,0.5706892588427778,0.5208300173282623,,,0.8058405384822254,0.7849533,0.7862777
44,199,0.820217597213141,0.5801595327738903,0.5283300042152405,,,0.8122080309840923,0.7896208,0.7925538
45,199,0.8215656263361291,0.5813194573724993,0.5304900109767914,,,0.8137968557231581,0.7907598,0.7937184
46,199,0.8276982845876975,0.5889927543957199,0.5366200149059296,,,0.8201136755673638,0.7943764,0.7970482
47,199,0.831896793517117,0.5912142111535864,0.5409800112247467,,,0.8243636011896995,0.7964816,0.799041
48,199,0.8351693165162383,0.5962532215277239,0.5464299976825714,,,0.8277266003610373,0.798251,0.8005539
49,199,0.8401931697687844,0.6009380192570958,0.5518499910831451,,,0.8330314752211042,0.8015252,0.8036405
50,199,0.8433708637233377,0.606524354144088,0.5564799964427948,,,0.8362156338650671,0.8040122,0.8068002
51,199,0.8460066927892209,0.6135183831430148,0.5634100198745727,,,0.8390206318289726,0.8058364,0.8085506
52,199,0.8493282399013804,0.6184276687258469,0.5667799949645996,,,0.8423938016737514,0.8076145,0.8096275
53,199,0.8549659765049913,0.6238570918350231,0.5728200018405915,,,0.848271519113303,0.8115082,0.8140438
54,199,0.8574442748042463,0.6260581422782096,0.5745399832725525,,,0.8508157611618596,0.8119238,0.8132883
55,199,0.8623781317543122,0.6330467334102468,0.5814899802207947,,,0.8560165947175431,0.8155322,0.8174509
56,199,0.8644093114381288,0.6389359894808031,0.5864199936389923,,,0.8580344320265308,0.8171722,0.819208
57,199,0.8696012563681649,0.6441588301576644,0.5930599987506866,,,0.8633838953048866,0.8209049,0.8231679
58,199,0.8723631919553549,0.6466371648765369,0.5971999883651733,,,0.8664095388166543,0.8237331,0.8265058
59,199,0.8745881026640314,0.652870028971432,0.6017900109291077,,,0.8686739903680435,0.824993,0.8278341
60,199,0.8771674335515225,0.6533408916682326,0.6047400236129761,,,0.871374593092258,0.8269572,0.8296305
61,199,0.8806326691795915,0.6608028579974643,0.6099400103092194,,,0.8749301235882969,0.8291106,0.8316438
62,199,0.882067762976854,0.6628602589512735,0.6123199820518493,,,0.8764787832528725,0.8299496,0.8323554
63,199,0.8879311109829577,0.671045688973671,0.6203099906444549,,,0.8825771642522622,0.8341569,0.8364177
64,199,0.8903645232129346,0.6720076326762755,0.6233600080013275,,,0.8851218053138493,0.8351544,0.8363338
65,199,0.8931024478747484,0.6805525632100051,0.6294600069522858,,,0.8880313452221136,0.8376357,0.8388796
66,199,0.8953020064071062,0.6834983760174175,0.6325199842453003,,,0.8902804790070462,0.8392856,0.8406728
67,199,0.9004299715806539,0.6901221774823919,0.6392099857330322,,,0.8956245667611599,0.8437487,0.8457586
68,199,0.9002141192588307,0.690059619958924,0.6397300064563751,,,0.8954668556679536,0.84356,0.8450055
69,199,0.9040565503799798,0.6960356841936159,0.6462799847126007,,,0.8994472666153732,0.8461935,0.847315
70,199,0.9062985796570073,0.7013984097133539,0.6509899973869324,,,0.9017758699503732,0.8489462,0.8508641
71,199,0.9092578861402505,0.7069072194913313,0.6567000031471253,,,0.90481858207986,0.8513278,0.8531989
72,199,0.9117946831055204,0.7103762771800695,0.6614900171756745,,,0.9074925808549198,0.8532833,0.8553452
73,199,0.9133648654993343,0.7144973311488376,0.6650600075721741,,,0.9091862249627299,0.8539444,0.8549839
74,199,0.9139879406456866,0.717920102776853,0.6679300129413605,,,0.909785160811333,0.8551201,0.8567514
75,199,0.9183924117162852,0.7234210087325827,0.6739300072193146,,,0.9142973586034382,0.8576205,0.8585523
76,199,0.9193158442298781,0.7230756657501152,0.6741999864578248,,,0.9153814119155316,0.8583725,0.8591769
77,199,0.9216614324520155,0.7277682968564017,0.6783500075340271,,,0.9177520633213941,0.8617341,0.8633905
78,199,0.9248446608241947,0.7335563536458097,0.6845699727535248,,,0.9210581833644222,0.8637721,0.864786
79,199,0.9271995811606345,0.7371746502549233,0.6893999993801116,,,0.9235106774036778,0.8656453,0.8664371
80,199,0.9282730643704671,0.7413708645257395,0.6934299767017365,,,0.9247059128808922,0.8670553,0.868125
81,199,0.9311418992933891,0.7445682782143794,0.696480005979538,,,0.9276078001700384,0.8702198,0.8717984
82,199,0.9319843486305255,0.7466957995930975,0.698829996585846,,,0.9285724322519657,0.870661,0.8721398
83,199,0.9328071405922955,0.7478132351451382,0.7007100224494934,,,0.9294494694418741,0.8709995,0.8716975
84,199,0.9355925353686082,0.7537660722714935,0.705320006608963,,,0.9322971222443451,0.8728273,0.8727749
85,199,0.9380732396989536,0.7577857626284266,0.7121100068092346,,,0.9350092353820748,0.8765518,0.8777147
86,199,0.9397563544115238,0.760557671917869,0.7157200098037719,,,0.9367520592013832,0.8784946,0.8799397
87,199,0.9415701565539706,0.7660148953147479,0.7190200030803681,,,0.9386071729872181,0.8799554,0.8810215
88,199,0.9426395194487972,0.7667628636912583,0.720419979095459,,,0.9397208988603396,0.8810815,0.882125
89,199,0.9435239472908048,0.7701016757726962,0.7244099915027619,,,0.940662865895146,0.8820769,0.883191
90,199,0.9455912527396227,0.7752705966537331,0.7284399747848511,,,0.9427717501061549,0.884003,0.8847844
91,199,0.9461371931795552,0.7778311774172129,0.7297099888324737,,,0.9433353441292296,0.8851931,0.886435
92,199,0.9484263623472391,0.7804778734647595,0.73397998213768,,,0.9457610310746104,0.8865231,0.8867313
93,199,0.9499396224757867,0.7842253457713896,0.7373700082302094,,,0.9473430488975036,0.8893503,0.8902588
94,199,0.9520650162430959,0.790216769027203,0.7446999907493591,,,0.9495786906584177,0.8918891,0.8927449
95,199,0.9530813432680244,0.7917855097334423,0.7451399981975555,,,0.950596503251932,0.8920271,0.8922134
96,199,0.9538939647957048,0.7952688449407219,0.7503700017929077,,,0.9514955562854112,0.8936765,0.8947077
97,199,0.9546239136820504,0.7970012444572236,0.7519299864768982,,,0.9522842623935144,0.893257,0.8931549
98,199,0.9564665466721181,0.8000358564893327,0.7560199916362762,,,0.9542229146943082,0.8970105,0.8983662
99,199,0.956873082581648,0.8036826112839176,0.7588200092315673,,,0.9546271464005145,0.8963092,0.8963458
100,199,0.9578475287813439,0.8045175453034444,0.7602299928665162,,,0.9556053461229918,0.8975287,0.897585
101,199,0.9587018401126095,0.8073842060633176,0.7633299887180328,,,0.956583377301244,0.8991403,0.899771
102,199,0.9605233348195943,0.8111014918469666,0.7672599852085114,,,0.9584397645510268,0.9006855,0.9009617
103,199,0.9626695686540915,0.816051829419467,0.7720800161361694,,,0.960697834599959,0.9041711,0.904936
104,199,0.9644320442786707,0.8182996626823679,0.7762000024318695,,,0.9625631178242576,0.9064635,0.907178
105,199,0.9654984920904945,0.8223956037614716,0.7789899945259094,,,0.9636350970537173,0.9078566,0.908559
106,199,0.9654080857635836,0.8205458167523446,0.7774899780750275,,,0.9635634174305578,0.9058743,0.9051751
107,199,0.966994649796397,0.8266650719663486,0.7830199718475341,,,0.9652028854530768,0.910185,0.911063
108,199,0.9666286052300539,0.8272543875789748,0.7840499877929688,,,0.9648481729094079,0.9090237,0.9092998
109,199,0.9683702796700834,0.831782737144052,0.7893699884414673,,,0.9666906509439879,0.9120348,0.9128492
110,199,0.9681740522191127,0.8325691666313757,0.7889599859714508,,,0.9664953860219849,0.9114295,0.9116699
111,199,0.9692706168770165,0.8330485499273722,0.7914999961853028,,,0.9676356578021024,0.9127481,0.91317
112,199,0.9703396809498026,0.8377969819783757,0.7957799732685089,,,0.968725441805068,0.9146877,0.9153642
113,199,0.9712397724913793,0.8392500422571315,0.7978300034999848,,,0.9697005356463585,0.9150648,0.9151691
114,199,0.9725607197161287,0.8456162099114876,0.8032099783420563,,,0.9710899687728508,0.9175955,0.9180929
115,199,0.9731695932603014,0.8456327565006146,0.8040000081062317,,,0.9716956248611612,0.9177947,0.9173985
116,199,0.9737617835911575,0.849299602952829,0.8081699550151825,,,0.9723099009438649,0.9194933,0.9199113
117,199,0.9733157080281348,0.8482137056679695,0.8076399743556977,,,0.9718503140227287,0.9196477,0.9203793
118,199,0.974185098075068,0.8519182728743766,0.8108500063419342,,,0.9727708685438197,0.9197855,0.9196661
119,199,0.9753015622895725,0.8517356815939345,0.8104199647903443,,,0.973934632927994,0.920942,0.9202113
