epoch,val_loss,val_acc,lr,epoch_time,latent_shape,train_loss
-1,4.78301203250885,1.19,0.0001,2.209699869155884,512,
0,3.919859457015991,9.99,9.885530946569389e-05,24.07367253303528,512,4.27849174032406
1,3.487500524520874,16.86,9.772372209558107e-05,23.90876030921936,512,3.7815562121722164
2,3.2220858097076417,21.7,9.660508789898133e-05,24.207927703857422,512,3.4540104574086716
3,3.0180276155471804,25.47,9.54992586021436e-05,24.288739442825317,512,3.2366845486115436
4,2.8993003606796264,27.61,9.440608762859233e-05,24.13456654548645,512,3.0879706363288726
5,2.8148163557052612,28.48,9.33254300796991e-05,23.97524929046631,512,2.981837345629322
6,2.743671882152557,30.57,9.225714271547631e-05,24.165250301361084,512,2.8830954323009568
7,2.6624273896217345,31.86,9.120108393559098e-05,24.19997000694275,512,2.8035252191582503
8,2.584316670894623,33.78,9.01571137605957e-05,23.976199865341187,512,2.7359880135983836
9,2.555958592891693,34.16,8.912509381337456e-05,24.255006313323975,512,2.6767388533572762
10,2.5115889072418214,35.31,8.810488730080142e-05,24.2072114944458,512,2.6232441663742065
11,2.4637606382369994,36.71,8.709635899560807e-05,23.992653846740723,512,2.576850256141351
12,2.4322915077209473,37.26,8.609937521846007e-05,24.304234266281128,512,2.5288389872531503
13,2.3835541129112245,38.36,8.511380382023765e-05,24.303377151489258,512,2.4885263418664736
14,2.3641512036323546,38.55,8.413951416451952e-05,23.898159742355347,512,2.451581495148795
15,2.33595495223999,39.52,8.31763771102671e-05,24.292119026184082,512,2.407613754272461
16,2.3214038491249083,39.68,8.222426499470712e-05,24.244694232940674,512,2.3791949384066524
17,2.2905730247497558,40.58,8.128305161640993e-05,24.222912549972534,512,2.3515164219603246
18,2.2613831639289854,41.06,8.035261221856174e-05,23.898476123809814,512,2.323455749725809
19,2.263143980503082,41.34,7.943282347242817e-05,24.200124740600586,512,2.3009731647919636
20,2.219742035865784,41.8,7.85235634610072e-05,24.152861833572388,512,2.26673961658867
21,2.1958008885383604,42.26,7.762471166286919e-05,23.907835960388184,512,2.2359369676940295
22,2.179302144050598,43.37,7.673614893618191e-05,24.137550115585327,512,2.21235530473748
23,2.1653420686721803,43.43,7.58577575029184e-05,24.19344973564148,512,2.184306713999534
24,2.1402853071689605,43.99,7.49894209332456e-05,24.236039400100708,512,2.1650515636619256
25,2.119154930114746,44.5,7.413102413009176e-05,23.932945728302002,512,2.1419899609624125
26,2.1095458984375,44.88,7.328245331389042e-05,24.1916720867157,512,2.117309966865851
27,2.105170488357544,44.76,7.244359600749902e-05,24.275898218154907,512,2.095545248109467
28,2.1022291243076325,45.08,7.161434102129022e-05,23.951380968093872,512,2.0786018237775687
29,2.06456298828125,45.65,7.079457843841381e-05,24.21450400352478,512,2.057883903688314
30,2.0610705435276033,46.31,6.998419960022738e-05,24.240034341812134,512,2.0377620568080825
31,2.055189788341522,46.27,6.918309709189368e-05,24.18457293510437,512,2.0201223407472884
32,2.021607428789139,46.88,6.839116472814297e-05,23.93971300125122,512,1.9929962085217845
33,2.0481055796146395,46.41,6.760829753919822e-05,24.152726650238037,512,1.9800105423343426
34,2.037128394842148,46.4,6.68343917568615e-05,24.231221199035645,512,1.9646997889693902
35,1.988373875617981,47.62,6.606934480075965e-05,24.47333073616028,512,1.9446690374491167
36,1.9810545444488525,47.9,6.531305526474728e-05,24.00671625137329,512,1.934621441121004
37,2.002673727273941,47.27,6.45654229034656e-05,24.28350567817688,512,1.915485710513835
38,1.9743153929710389,47.97,6.382634861905491e-05,24.432697057724,512,1.895038622982648
39,1.9780192911624908,47.4,6.309573444801937e-05,23.93948245048523,512,1.8797181516277546
40,1.9762279629707336,47.8,6.237348354824197e-05,24.198129653930664,512,1.8644596897825902
41,1.9583051443099975,47.8,6.165950018614826e-05,24.273029804229736,512,1.8523639720313403
42,1.935148721933365,48.56,6.0953689724016965e-05,24.05487561225891,512,1.8275245221293703
43,1.9183428883552551,48.86,6.0255958607435826e-05,24.354978322982788,512,1.8124264186742354
44,1.9185828387737274,49.11,5.9566214352901096e-05,24.312828302383423,512,1.7907525349636466
45,1.9175879955291748,49.34,5.888436553555895e-05,24.027818202972412,512,1.7834364771842957
46,1.9084012508392334,49.55,5.8210321777087194e-05,24.24092698097229,512,1.7688553199476125
47,1.89276362657547,49.49,5.7543993733715745e-05,24.258179187774658,512,1.7462328745394338
48,1.9031430780887604,49.29,5.68852930843842e-05,24.23090887069702,512,1.7408702178877227
49,1.8780305147171021,50.05,5.623413251903496e-05,24.102052450180054,512,1.730574021534044
50,1.8916167318820953,49.67,5.5590425727040414e-05,24.252538919448853,512,1.719611058429796
51,1.8974545478820801,49.81,5.495408738576251e-05,24.24853825569153,512,1.7028305275099618
52,1.875576812028885,50.13,5.432503314924337e-05,24.18325686454773,512,1.6898513521466936
53,1.8609030485153197,50.42,5.3703179637025325e-05,24.010066270828247,512,1.6762467318651628
54,1.8562771499156951,51.19,5.3088444423098885e-05,24.162998914718628,512,1.6622677043992646
55,1.8436134159564972,51.05,5.248074602497731e-05,24.268666982650757,512,1.6559558048540233
56,1.8574877977371216,50.7,5.188000389289616e-05,23.94531011581421,512,1.63719726825247
57,1.852690201997757,50.81,5.1286138399136535e-05,24.344449996948242,512,1.6326573965500812
58,1.831347644329071,51.41,5.0699070827470486e-05,24.188552618026733,512,1.616855475367332
59,1.83679056763649,50.86,5.011872336272728e-05,23.970639944076538,512,1.6067584181318477
60,1.8310075402259827,51.26,4.954501908047907e-05,24.222143411636353,512,1.6007544921368968
61,1.8390548765659331,50.93,4.897788193684467e-05,24.246978759765625,512,1.5856090808401302
62,1.8400507748126984,51.18,4.8417236758409984e-05,24.313417434692383,512,1.5720204102749726
63,1.820292979478836,51.7,4.7863009232263885e-05,24.042169332504272,512,1.5620866405720613
64,1.810837984085083,52.4,4.73151258961481e-05,24.270306825637817,512,1.553047386967406
65,1.805037146806717,52.13,4.677351412871987e-05,24.333195209503174,512,1.5475640333428675
66,1.8026772916316987,52.36,4.623810213992608e-05,23.993800401687622,512,1.5310520213477465
67,1.8009877383708954,52.33,4.570881896148756e-05,24.25253939628601,512,1.522741467368846
68,1.7877081751823425,52.6,4.5185594437492294e-05,24.222817420959473,512,1.5139288902282715
69,1.780549305677414,52.73,4.466835921509637e-05,69.7592101097107,512,1.505330768166756
70,1.7746740877628326,52.9,4.415704473533131e-05,24.41589069366455,512,1.494804557488889
71,1.793617421388626,52.52,4.3651583224016654e-05,24.383434295654297,512,1.4836939719258522
72,1.7824788808822631,52.7,4.315190768277658e-05,24.17114520072937,512,1.471798092735057
73,1.7805971920490264,52.78,4.265795188015932e-05,96.48335456848145,512,1.4607950473318294
74,1.7880159199237824,52.63,4.2169650342858277e-05,24.224697589874268,512,1.4565506832940238
75,1.7721145927906037,53.18,4.168693834703359e-05,24.06209945678711,512,1.445034724109027
76,1.7745383143424989,53.14,4.1209751909733076e-05,24.34658908843994,512,1.4412557689511045
