epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.273954963406507,0.05086990843596769,0.05879000201821327,,,0.2708673785620679,0.5839648,0.5833936
0,199,0.5257851453498998,0.09494392568279415,0.11046000644564628,,,0.5238911465705022,0.6640483,0.6734767
1,199,0.6228403178655365,0.12665521370446461,0.14523000717163087,,,0.6202487717828457,0.7011855,0.7094549
2,199,0.6675345059154161,0.14898813904168073,0.1653200015425682,,,0.6649992672237937,0.7187695,0.7264675
3,199,0.6878262867581391,0.16381812670175702,0.17805000394582748,,,0.685158775499034,0.726512,0.7356273
4,199,0.7007845758855354,0.17313205241684132,0.18802000135183333,,,0.6982619971073464,0.7319554,0.7423036
5,199,0.7100117592645363,0.1864297633407378,0.20022000670433043,,,0.7072684583123682,0.7349522,0.7425568
6,199,0.7193998435727303,0.1949641339281906,0.20880000591278075,,,0.7168102531840388,0.7381217,0.7455019
7,199,0.7345601907300421,0.20693102513249023,0.21985999941825868,,,0.7320780829119969,0.7450398,0.7536483
8,199,0.7380605310279844,0.2211226903946677,0.230560003221035,,,0.7353475834087264,0.7462856,0.7544625
9,199,0.7486072643099504,0.23025249977667936,0.23977000266313553,,,0.745917563617751,0.7508573,0.7572265
10,199,0.7558147672641953,0.23767474656139043,0.249099999666214,,,0.7533568616656696,0.7550782,0.7626179
11,199,0.7646095097251837,0.2525551878800195,0.258760005235672,,,0.7620749198711548,0.7574016,0.7638355
12,199,0.7706160142643186,0.25800511913762897,0.2676800012588501,,,0.7681600448736957,0.7619275,0.7693765
13,199,0.7769018248163175,0.2693491698123337,0.27936001121997833,,,0.7742465622110595,0.7649528,0.7726379
14,199,0.7864916740894359,0.2779239144985546,0.2879999965429306,,,0.7839537053355449,0.7697961,0.7767081
15,199,0.7895047115007958,0.2884677928340952,0.29752000868320466,,,0.7868261960519013,0.7710885,0.7772552
16,199,0.7964788843451185,0.30281088576446247,0.3069900006055832,,,0.7938041166120223,0.7758964,0.7820349
17,199,0.7983255377160224,0.31092295500076467,0.3165800034999847,,,0.7955114020040098,0.7760936,0.7817934
18,199,0.81061414016463,0.32501905609588555,0.33089000582695005,,,0.8080847539513251,0.7848155,0.7930385
19,199,0.8140687221399482,0.32783687236143144,0.3324700057506561,,,0.8115540867746314,0.7865605,0.7938261
20,199,0.8173594548059121,0.3386168868977677,0.34199000895023346,,,0.8147938822402687,0.7887729,0.7954227
21,199,0.8226770628008918,0.3425486491975438,0.3478800058364868,,,0.8201726853820939,0.7917346,0.7989494
22,199,0.8282167886087258,0.3528293483014915,0.3570700019598007,,,0.8257377984698473,0.7956407,0.8045244
23,199,0.831964771785586,0.354706178030783,0.35978999733924866,,,0.8295049898609534,0.798021,0.8057539
24,199,0.8343836336047522,0.3614680526440146,0.36552999913692474,,,0.8319340033100687,0.7987173,0.8063127
25,199,0.8386945390272196,0.36862229059108864,0.37264000475406645,,,0.8363343714734351,0.8004876,0.807057
26,199,0.8465250737748884,0.37528448899933775,0.3818300187587738,,,0.844337035048662,0.806763,0.8146733
27,199,0.8461667165183423,0.3839049325187244,0.3855500042438507,,,0.8438694137174603,0.8053176,0.8113805
28,199,0.8482668841528087,0.39308488442016676,0.39344000816345215,,,0.8459406245270249,0.8067,0.8139681
29,199,0.8507811741133635,0.39359154583276534,0.3950300097465515,,,0.8484809395726497,0.8085791,0.8155356
30,199,0.8575843479016102,0.3990516693690044,0.40268999636173247,,,0.8554943291117872,0.8124198,0.8192681
31,199,0.8617379983518653,0.406897466285472,0.41122000217437743,,,0.8596738537727795,0.8174394,0.8253384
32,199,0.8647454312954113,0.4114418560433748,0.4149200111627579,,,0.8627301788937078,0.8174992,0.8246449
33,199,0.8660211258877706,0.4180493028713341,0.41837999820709226,,,0.8639614129352838,0.8196866,0.8276484
