distance_function,time_tick,run,seed,n,d,tsi_score,tsi_time,qsi_score,qsi_time
euclidean,0.0,1,0,1000,50,0.5010366879905958,3.9737795293331146,0.5017421205383569,65.69948730058968
euclidean,0.1111111111111111,1,0,1000,50,0.5058557555551544,3.5924693942070007,0.5065765506251533,65.96703326888382
euclidean,0.2222222222222222,1,0,1000,50,0.524241092796203,3.5182879269123077,0.5246538379192212,66.30660929717124
euclidean,0.3333333333333333,1,0,1000,50,0.5616864078507365,3.5329376328736544,0.5607056351974312,66.35307440720499
euclidean,0.4444444444444444,1,0,1000,50,0.6200511533577666,3.519850004464388,0.6160707736156084,81.16590510495007
euclidean,0.5555555555555556,1,0,1000,50,0.6956287209052741,3.6461275815963745,0.6881289896075334,76.23366300947964
euclidean,0.6666666666666666,1,0,1000,50,0.7801229044675938,3.622904349118471,0.7710119158299772,72.23927234858274
euclidean,0.7777777777777777,1,0,1000,50,0.8635752947336114,3.5806343350559473,0.8560025768568108,71.80415891483426
euclidean,0.8888888888888888,1,0,1000,50,0.9380278655408916,3.584607742726803,0.9341069147007844,67.1065177693963
euclidean,1.0,1,0,1000,50,1.0,3.650987647473812,1.0,67.7651188839227
euclidean,0.0,2,1,1000,50,0.5040810610209407,3.6030259300023317,0.5067710484256475,72.2895420063287
euclidean,0.1111111111111111,2,1,1000,50,0.5089618014808396,3.6468478199094534,0.5118632571824452,69.56249192170799
euclidean,0.2222222222222222,2,1,1000,50,0.5274257363576,3.608849059790373,0.5301607163350952,71.04412335157394
euclidean,0.3333333333333333,2,1,1000,50,0.5647474227734749,3.4563923329114914,0.566031511301373,64.00762499496341
euclidean,0.4444444444444444,2,1,1000,50,0.6224019851514841,3.5016686003655195,0.6202393408779541,74.2454486452043
euclidean,0.5555555555555556,2,1,1000,50,0.6966170318615208,3.4130723401904106,0.6902447831155477,64.04776699654758
euclidean,0.6666666666666666,2,1,1000,50,0.779930270952315,3.4295622520148754,0.7711952984938515,64.70620738528669
euclidean,0.7777777777777777,2,1,1000,50,0.8629580081083087,3.421948492527008,0.855277738692697,64.63616493158042
euclidean,0.8888888888888888,2,1,1000,50,0.9376256958361167,3.391360804438591,0.9335092263174707,64.68531722947955
euclidean,1.0,2,1,1000,50,1.0,3.4001628998667,1.0,69.49112348631024
euclidean,0.0,3,2,1000,50,0.4971545854471706,3.3845943603664637,0.4952901665391439,69.56978091411293
euclidean,0.1111111111111111,3,2,1000,50,0.5024158386843758,3.510237270966172,0.5005224034775615,65.06152945198119
euclidean,0.2222222222222222,3,2,1000,50,0.5216981510568685,3.4614171013236046,0.5196791237099737,64.13234271854162
euclidean,0.3333333333333333,3,2,1000,50,0.5604528456312023,3.4163473397493362,0.5575552517802433,68.59254353120923
euclidean,0.4444444444444444,3,2,1000,50,0.6201548682951489,3.3681757524609566,0.6149537981790169,68.63362339325249
euclidean,0.5555555555555556,3,2,1000,50,0.6964703140013762,3.414016207680106,0.6884882068899935,63.727459171786904
euclidean,0.6666666666666666,3,2,1000,50,0.7810831853897986,3.406751248985529,0.771917017529486,65.12623892724514
euclidean,0.7777777777777777,3,2,1000,50,0.8642153135099027,3.4717513509094715,0.8567458438875174,65.19835386238992
euclidean,0.8888888888888888,3,2,1000,50,0.9383007536594711,3.5204355120658875,0.9344323486144459,65.03250885009766
euclidean,1.0,3,2,1000,50,1.0,3.5210041273385286,1.0,65.622499672696
euclidean,0.0,4,3,1000,50,0.5037610576508372,3.5769091472029686,0.5058480962032498,73.67366396263242
euclidean,0.1111111111111111,4,3,1000,50,0.5088298940222787,3.7696375511586666,0.5109329030942288,65.33747228980064
euclidean,0.2222222222222222,4,3,1000,50,0.5276146146146146,3.5013361778110266,0.5294559981496543,65.41586705856025
euclidean,0.3333333333333333,4,3,1000,50,0.5655279086701932,3.5250590723007917,0.5659807598063648,65.05004047974944
euclidean,0.4444444444444444,4,3,1000,50,0.6239838355389458,3.468144219368696,0.6213085699533017,68.13053040020168
euclidean,0.5555555555555556,4,3,1000,50,0.6988925298043535,3.4721025452017784,0.6924904015538483,65.8557366579771
euclidean,0.6666666666666666,4,3,1000,50,0.7822673796040529,3.4446544647216797,0.7739741947280715,65.26984688267112
euclidean,0.7777777777777777,4,3,1000,50,0.8647286344460693,3.4717969745397568,0.8576505885768905,65.4813873488456
euclidean,0.8888888888888888,4,3,1000,50,0.9384884784584183,3.4520925544202328,0.9347786457098279,65.0028487984091
euclidean,1.0,4,3,1000,50,1.0,3.4851226918399334,1.0,67.51528287306428
euclidean,0.0,5,4,1000,50,0.499439411355243,3.4829943645745516,0.4991865481117606,69.08057218231261
euclidean,0.1111111111111111,5,4,1000,50,0.5044448917855732,3.395989602431655,0.504062726211658,64.99811164475977
euclidean,0.2222222222222222,5,4,1000,50,0.5232100296689475,3.4168359115719795,0.5223163170768712,64.47974414564669
euclidean,0.3333333333333333,5,4,1000,50,0.5610421563848418,3.4309871420264244,0.5585328458771553,68.69355025328696
euclidean,0.4444444444444444,5,4,1000,50,0.6195696498101307,3.403734976425767,0.6138171660181858,65.64237307198346
euclidean,0.5555555555555556,5,4,1000,50,0.6950395786568131,3.595415636897087,0.6857191425389808,70.66451518982649
euclidean,0.6666666666666666,5,4,1000,50,0.7795386268031559,3.498603219166398,0.768783029303195,69.655946187675
euclidean,0.7777777777777777,5,4,1000,50,0.8631565152326676,3.4754912424832582,0.8543864251948102,63.96590636111796
euclidean,0.8888888888888888,5,4,1000,50,0.9378346021372074,3.4755570832639933,0.9333210516502596,71.08784696832299
euclidean,1.0,5,4,1000,50,1.0,3.417767545208335,1.0,65.79591861180961
euclidean,0.0,6,5,1000,50,0.5009141245453871,3.4238699600100517,0.5019289055307974,62.88251980021596
euclidean,0.1111111111111111,6,5,1000,50,0.5055397501710127,3.439575655385852,0.5068222233203993,67.23292012140155
euclidean,0.2222222222222222,6,5,1000,50,0.5240074844383462,3.5050892997533083,0.5253637904773515,64.40137556195259
euclidean,0.3333333333333333,6,5,1000,50,0.5620928383293112,3.482589637860656,0.5625509411941171,65.52779807522893
euclidean,0.4444444444444444,6,5,1000,50,0.621347925079388,3.523871909826994,0.6190941406348267,65.25310354866087
euclidean,0.5555555555555556,6,5,1000,50,0.6971788040545556,3.5011450182646513,0.6912945550861784,64.84023476950824
euclidean,0.6666666666666666,6,5,1000,50,0.7811361381421502,3.4929953683167696,0.7731406792388051,67.8615393936634
euclidean,0.7777777777777777,6,5,1000,50,0.8639155568394046,3.4469963628798723,0.8568096087436232,63.80711466819048
euclidean,0.8888888888888888,6,5,1000,50,0.9380321263146915,3.4452627543359995,0.9341645077700216,64.12913997285068
euclidean,1.0,6,5,1000,50,1.0,3.4252363592386246,1.0,64.47014535032213
euclidean,0.0,7,6,1000,50,0.4999496289877051,3.439580161124468,0.5000093095952216,67.4326389003545
euclidean,0.1111111111111111,7,6,1000,50,0.504880156709816,3.4349771700799465,0.505128968181211,65.07412805221975
euclidean,0.2222222222222222,7,6,1000,50,0.5233081819294244,3.5143147073686123,0.5233748223271664,64.93969010002911
euclidean,0.3333333333333333,7,6,1000,50,0.5605372065452225,3.5058135110884905,0.5591204826613818,64.74875343963504
euclidean,0.4444444444444444,7,6,1000,50,0.6182755541112255,3.54717025347054,0.6134789093087233,64.33779289573431
euclidean,0.5555555555555556,7,6,1000,50,0.693171630548384,3.509899079799652,0.6843714478031216,63.42028775066137
euclidean,0.6666666666666666,7,6,1000,50,0.7775571984810462,3.4312998689711094,0.7668720086208624,62.79323793947697
euclidean,0.7777777777777777,7,6,1000,50,0.861601162284529,3.3880934566259384,0.8526663427547563,62.55587789788842
euclidean,0.8888888888888888,7,6,1000,50,0.9370337231018594,3.417546594515443,0.9323806485786212,63.18010417930782
euclidean,1.0,7,6,1000,50,1.0,3.408864552155137,1.0,63.28470491245389
euclidean,0.0,8,7,1000,50,0.4967858539902628,3.4364685341715813,0.49447817646974634,64.13801456615329
euclidean,0.1111111111111111,8,7,1000,50,0.5023406994168518,3.4383497275412083,0.49990176786314294,65.20103320479393
euclidean,0.2222222222222222,8,7,1000,50,0.5216565322837868,3.528606180101633,0.5188737519255244,71.28997812606394
euclidean,0.3333333333333333,8,7,1000,50,0.5599580121203368,3.5230067651718855,0.5558185866664569,65.21368998289108
euclidean,0.4444444444444444,8,7,1000,50,0.6185509397172724,3.5219519156962633,0.6115057764683032,65.17935722507536
euclidean,0.5555555555555556,8,7,1000,50,0.6936821330348385,3.4746163450181484,0.6833215487514014,68.56715782918036
euclidean,0.6666666666666666,8,7,1000,50,0.7777747687567327,3.3910999950021505,0.7662049925053445,64.48622540943325
euclidean,0.7777777777777777,8,7,1000,50,0.8615464281917188,3.4390642028301954,0.8521560923419725,63.960584891960025
euclidean,0.8888888888888888,8,7,1000,50,0.9369079339860903,3.4314358811825514,0.9320733927093767,64.42948812618852
euclidean,1.0,8,7,1000,50,1.0,3.4386096596717834,1.0,68.20967752486467
