epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.15866876579787434,0.05347891934979182,0.05585000179708004,,,0.15287755570898365,0.5463385,0.5471338
0,199,0.24466090795694448,0.10027637447143722,0.100200005620718,,,0.23717193493746277,0.5720075,0.5756776
1,199,0.34313265422622574,0.16035493472172502,0.15019000321626663,,,0.3315746741018611,0.5993984,0.6051892
2,199,0.41534327323005577,0.2030729083826924,0.1898700013756752,,,0.4031312707362489,0.6214803,0.626316
3,199,0.4600457319581694,0.22784587900602998,0.2141000047326088,,,0.44849509742173205,0.6370366,0.6419085
4,199,0.48901441837139786,0.25481705798518206,0.2372800037264824,,,0.4773391725568655,0.6463927,0.6509131
5,199,0.50709231581704,0.27530474921259296,0.25354000478982924,,,0.4951681754115686,0.652176,0.6559341
6,199,0.5321745604628565,0.2904873537754967,0.2679599940776825,,,0.5205568373556697,0.6613999,0.6656527
7,199,0.555121054614881,0.30784252048792543,0.2829200059175491,,,0.5439646541589273,0.6706091,0.6756945
8,199,0.5640541561415527,0.3232625503665985,0.29509000182151796,,,0.5522167528753028,0.6723349,0.676592
9,199,0.5805383412569748,0.3386104726574797,0.3079800009727478,,,0.5689579431400908,0.6789485,0.6831724
10,199,0.5945845421141697,0.3477597013267465,0.31566000580787656,,,0.583361607577882,0.6843228,0.6880442
11,199,0.6056099047220789,0.36167767106333365,0.32626999616622926,,,0.5940023324726021,0.6881806,0.6919017
12,199,0.6199877941968583,0.3718281237068041,0.3365900069475174,,,0.6085662768985519,0.6932574,0.6963557
13,199,0.6315846510018827,0.38549565662530877,0.347830006480217,,,0.6202671732355528,0.6993817,0.703556
14,199,0.6428294883829855,0.39279158839020945,0.3556700021028519,,,0.6317055277246025,0.7036464,0.7076763
15,199,0.651391106334686,0.40463374607769087,0.36419000923633577,,,0.6403071159223306,0.7073155,0.7113327
16,199,0.6622461377242406,0.41249394581445886,0.37295001149177553,,,0.6514191959460395,0.7112119,0.7145948
17,199,0.6702515640514098,0.4207415521293809,0.37843001186847686,,,0.6594465141734982,0.7148606,0.7186051
18,199,0.6755032152618545,0.4275206279742666,0.38524000346660614,,,0.6641625242690364,0.7164991,0.7193648
19,199,0.6840077069264592,0.436122890660254,0.39328999519348146,,,0.6729974036913202,0.7201094,0.7228686
20,199,0.6930154787919264,0.4444095561379278,0.4014399915933609,,,0.6821548608735793,0.7251981,0.7285644
21,199,0.7004230532196303,0.453362421886003,0.4096600145101547,,,0.6896780453796624,0.7281933,0.7316501
22,199,0.7084155089204064,0.45787220196855083,0.4130100101232529,,,0.6979815355299653,0.7323317,0.7356875
23,199,0.7126442582752455,0.4652215731921202,0.4209900051355362,,,0.7021040694114719,0.7337211,0.7370182
24,199,0.7210563064220195,0.4713091694509458,0.4264399915933609,,,0.7108259809520094,0.7375524,0.7402602
25,199,0.7280776234974888,0.4768366686432192,0.4315600126981735,,,0.7180236652096502,0.7406737,0.742829
26,199,0.7370024706521807,0.4854418323157884,0.4387300074100494,,,0.7270122475442872,0.7448041,0.7474414
27,199,0.7408404905010608,0.4901898175607397,0.44442002177238465,,,0.7310204994495746,0.747506,0.7504245
28,199,0.7454573939646558,0.4999612164682121,0.45250001847743987,,,0.7356211332463461,0.7491149,0.7518932
29,199,0.7503529254238543,0.5027220292218473,0.4553900003433228,,,0.7407056486749449,0.7520976,0.7546088
30,199,0.7571590677248424,0.5106972869270864,0.4597200095653534,,,0.7474908821726658,0.7543404,0.7560193
31,199,0.7624990251980164,0.5141597053650202,0.4663199931383133,,,0.7530404066292455,0.7581418,0.7603594
32,199,0.7694662718837857,0.5227147748362814,0.4737800031900406,,,0.7601988437891979,0.7620935,0.7643319
33,199,0.7732188340978312,0.527950458677078,0.47746998965740206,,,0.7639936144535661,0.7632645,0.7650753
34,199,0.7732462650788178,0.5322350956970578,0.47996000945568085,,,0.7640112284018982,0.7621984,0.7626905
35,199,0.7814634559617886,0.5379592841951232,0.4866699993610382,,,0.7725455533366654,0.7678886,0.7698307
36,199,0.7882335696839564,0.5457303970520233,0.4930299878120422,,,0.7793187382776268,0.7721023,0.7745147
37,199,0.7913357645968009,0.5513007646539378,0.49934000372886655,,,0.7825367311185706,0.7735298,0.7758934
38,199,0.7971794463582327,0.5546850185907299,0.5021600186824798,,,0.7889747850508209,0.7771113,0.7792823
39,199,0.8039041866149004,0.56517654072275,0.5107300043106079,,,0.7955783395801692,0.7802464,0.7823717
40,199,0.8077367349730491,0.5681001786610919,0.5140700042247772,,,0.7997155039080223,0.78228,0.7838882
41,199,0.810076057516907,0.5747904425240902,0.5198499977588653,,,0.8019956973238281,0.783709,0.7854142
42,199,0.8168780556377164,0.5844831147169117,0.5282299995422364,,,0.8089514661530667,0.7874788,0.7893636
43,199,0.8200078684349246,0.5841115868428934,0.5299099981784821,,,0.8122522876596624,0.7896653,0.7917691
44,199,0.8233837432274014,0.5892796660162398,0.5354699790477753,,,0.8157149213574066,0.7916409,0.7938561
45,199,0.8286944531645094,0.5947206016473678,0.5414600074291229,,,0.8210917589590491,0.7947511,0.7967913
46,199,0.8328215656206105,0.6019827863687495,0.5477199912071228,,,0.8253932392761966,0.7981563,0.8008486
