epoch,val_loss,val_acc,lr,epoch_time,latent_shape,train_loss
-1,4.787485551834107,0.9,0.0001,2.221573829650879,512,
0,3.956361413002014,9.63,9.885530946569389e-05,24.38345956802368,512,4.290324070015732
1,3.5099913597106935,16.98,9.772372209558107e-05,24.183255434036255,512,3.810053258526082
2,3.226430284976959,21.94,9.660508789898133e-05,24.41934299468994,512,3.485011120231784
3,3.052162992954254,25.07,9.54992586021436e-05,24.885515451431274,512,3.264128539027
4,2.9247405529022217,27.63,9.440608762859233e-05,94.44647097587585,512,3.1162832148221074
5,2.8467424392700194,29.03,9.33254300796991e-05,23.97258687019348,512,3.003441012635523
6,2.7466628074646,30.57,9.225714271547631e-05,24.065569639205933,512,2.9146649229283237
7,2.6829519748687742,31.79,9.120108393559098e-05,23.89764666557312,512,2.824477395232843
8,2.6489863872528074,32.57,9.01571137605957e-05,24.31833052635193,512,2.7610469448323154
9,2.5502791166305543,34.67,8.912509381337456e-05,24.253549337387085,512,2.6936193485649262
10,2.52180335521698,35.2,8.810488730080142e-05,24.026631832122803,512,2.644119299187952
11,2.4890647649765016,35.61,8.709635899560807e-05,24.291358470916748,512,2.5881218691261445
12,2.4154921889305117,37.69,8.609937521846007e-05,24.502055883407593,512,2.543564200401306
13,2.386036515235901,38.17,8.511380382023765e-05,24.089208126068115,512,2.5036058036648496
14,2.371819722652435,38.44,8.413951416451952e-05,24.331031322479248,512,2.457438211051785
15,2.3306275010108948,39.15,8.31763771102671e-05,24.248467922210693,512,2.4225907836641585
16,2.284122622013092,40.38,8.222426499470712e-05,24.36087942123413,512,2.388583319527762
17,2.270933473110199,41.09,8.128305161640993e-05,24.01819682121277,512,2.348187582833426
18,2.259757912158966,41.12,8.035261221856174e-05,24.308226346969604,512,2.3269427966098397
19,2.234626865386963,42.07,7.943282347242817e-05,24.25824737548828,512,2.3009972961581484
20,2.19588166475296,42.72,7.85235634610072e-05,24.095444440841675,512,2.2666830846241544
21,2.196069359779358,42.96,7.762471166286919e-05,24.31386971473694,512,2.2371193876071853
22,2.169773554801941,43.18,7.673614893618191e-05,24.373218059539795,512,2.2164790581683724
23,2.1660742282867433,43.19,7.58577575029184e-05,24.380272388458252,512,2.19073540580516
24,2.1569476306438444,43.33,7.49894209332456e-05,24.016987800598145,512,2.1601763452802385
25,2.1354588627815247,44.03,7.413102413009176e-05,24.344070196151733,512,2.1441300572181237
26,2.094327288866043,45.31,7.328245331389042e-05,24.28027057647705,512,2.123152097877191
27,2.10723158121109,44.39,7.244359600749902e-05,24.28706455230713,512,2.0946281965898006
28,2.074925982952118,45.22,7.161434102129022e-05,23.989670991897583,512,2.085867744319293
29,2.0908363103866576,44.71,7.079457843841381e-05,24.305724143981934,512,2.060095791914025
30,2.078537714481354,45.66,6.998419960022738e-05,24.312325716018677,512,2.03944883541185
31,2.042917585372925,45.98,6.918309709189368e-05,24.309802055358887,512,2.015515753201076
32,2.022002249956131,46.24,6.839116472814297e-05,24.20019841194153,512,1.995560468459616
33,2.030866277217865,46.28,6.760829753919822e-05,24.33531165122986,512,1.9786547300766926
34,2.009962183237076,46.69,6.68343917568615e-05,24.458535194396973,512,1.967899504972964
35,1.993402647972107,46.87,6.606934480075965e-05,24.024701833724976,512,1.9520300541605269
36,1.9818484485149384,47.28,6.531305526474728e-05,24.334096908569336,512,1.9231449025017875
37,1.9921685814857484,46.93,6.45654229034656e-05,96.02428245544434,512,1.907090066647043
38,1.9754457473754883,47.65,6.382634861905491e-05,23.709399461746216,512,1.8889204312343986
39,1.9570460081100465,47.64,6.309573444801937e-05,24.178720474243164,512,1.8756923079490662
40,1.9571753919124604,48.15,6.237348354824197e-05,24.258998155593872,512,1.8672646855821415
41,1.9544991314411164,47.65,6.165950018614826e-05,24.225309371948242,512,1.8458259567922475
42,1.944136518239975,48.16,6.0953689724016965e-05,24.08624839782715,512,1.836700295915409
43,1.9261213421821595,48.67,6.0255958607435826e-05,24.25911545753479,512,1.8083504280265497
44,1.910515546798706,49.02,5.9566214352901096e-05,24.3327534198761,512,1.8040080532735707
45,1.926288014650345,48.42,5.888436553555895e-05,24.09423565864563,512,1.7862685249776256
46,1.9227848887443542,48.9,5.8210321777087194e-05,24.27406072616577,512,1.7758883408137731
47,1.9122968435287475,48.91,5.7543993733715745e-05,24.312703371047974,512,1.7592718662047873
48,1.9196130156517028,48.77,5.68852930843842e-05,24.13161015510559,512,1.7513335931057832
49,1.9026318430900573,49.32,5.623413251903496e-05,96.39731216430664,512,1.7354213911659864
50,1.883306735754013,49.73,5.5590425727040414e-05,23.91461968421936,512,1.7305729778445498
51,1.884456104040146,49.75,5.495408738576251e-05,24.05084490776062,512,1.7097226211002894
52,1.8930538594722748,49.54,5.432503314924337e-05,23.960681915283203,512,1.695894192676155
53,1.8658572375774383,50.34,5.3703179637025325e-05,24.292798042297363,512,1.6874249674835984
54,1.8709165453910828,50.3,5.3088444423098885e-05,24.295375108718872,512,1.672829311721179
55,1.8616166174411775,50.15,5.248074602497731e-05,24.148609399795532,512,1.6582152661012144
56,1.86957585811615,50.34,5.188000389289616e-05,87.77992033958435,512,1.642496139419322
57,1.8603004217147827,50.84,5.1286138399136535e-05,94.90023279190063,512,1.6391151802880424
58,1.850549328327179,51.06,5.0699070827470486e-05,23.84074068069458,512,1.6293132925520137
59,1.853914600610733,50.81,5.011872336272728e-05,96.53395652770996,512,1.6148803270592982
60,1.8495847880840302,51.08,4.954501908047907e-05,24.40405511856079,512,1.608974897131628
61,1.8369280874729157,51.06,4.897788193684467e-05,24.419145584106445,512,1.5933684731016353
62,1.8323331654071808,51.38,4.8417236758409984e-05,24.124571084976196,512,1.5884658548296715
63,1.8419316470623017,51.12,4.7863009232263885e-05,24.35421919822693,512,1.574201418429005
64,1.8240243554115296,51.43,4.73151258961481e-05,24.307254791259766,512,1.5631451935184246
65,1.8120864629745483,51.75,4.677351412871987e-05,24.117361783981323,512,1.552269228867122
66,1.8215047776699067,51.45,4.623810213992608e-05,24.406490564346313,512,1.5406516826882655
67,1.812848448753357,51.72,4.570881896148756e-05,24.31293535232544,512,1.542527697524246
68,1.827136653661728,51.41,4.5185594437492294e-05,24.338717222213745,512,1.5298453228814262
69,1.813379842042923,51.74,4.466835921509637e-05,95.59234642982483,512,1.5176497527531214
70,1.8023472428321838,51.89,4.415704473533131e-05,24.03172993659973,512,1.5033881603455057
71,1.808816772699356,51.65,4.3651583224016654e-05,24.141302585601807,512,1.4975599549254592
72,1.7953473448753356,52.14,4.315190768277658e-05,23.85318660736084,512,1.4946449995040894
73,1.8071919143199922,52.01,4.265795188015932e-05,205.72160005569458,512,1.4827186416606515
74,1.7981061279773711,51.86,4.2169650342858277e-05,24.388418197631836,512,1.4757841922798935
75,1.7909796476364135,52.25,4.168693834703359e-05,24.242677688598633,512,1.4590596130916051
76,1.7822248101234437,52.63,4.1209751909733076e-05,24.343480348587036,512,1.4516413722719466
77,1.8024654984474182,52.18,4.073802778041133e-05,24.391185998916626,512,1.4466609139831699
78,1.7942962944507599,52.32,4.0271703432545964e-05,24.352447748184204,512,1.4403107129797643
79,1.770046865940094,53.1,3.981071705534978e-05,24.110591173171997,512,1.432665300612547
80,1.7885876715183258,52.66,3.93550075455778e-05,24.355292081832886,512,1.423915377685002
81,1.7809372127056122,52.92,3.8904514499428113e-05,24.295833110809326,512,1.4209580202491916
82,1.787140917778015,52.79,3.845917820453541e-05,24.25843834877014,512,1.4104335879792973
83,1.7652244806289672,53.47,3.801893963205617e-05,24.15318775177002,512,1.4088229537010193
84,1.7650815546512604,53.04,3.758374042884447e-05,24.396626472473145,512,1.3926333030875848
85,1.7663879096508026,53.23,3.7153522909717305e-05,24.344645023345947,512,1.3945268137114388
86,1.7723961293697357,53.3,3.672823004980852e-05,163.26489162445068,512,1.3827860051271867
87,1.7653703212738037,53.66,3.630780547701019e-05,24.346826791763306,512,1.366386524268559
