epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.15300052621551147,0.05273264522309088,0.05483000427484512,,,0.14725625177667157,0.5466752,0.5488129
0,199,0.23702305305244753,0.09150104369213327,0.09311000555753708,,,0.22928308987305382,0.5720252,0.5778967
1,199,0.3341444570014206,0.14980963527375019,0.14293000251054763,,,0.3223793644130952,0.5983553,0.6068868
2,199,0.4075611860075738,0.19583638047671997,0.18378000110387802,,,0.39483594517226117,0.6203423,0.6277389
3,199,0.45241762293657606,0.22655653850499777,0.2101200044155121,,,0.4401510562195875,0.6349669,0.6416126
4,199,0.48205227761002734,0.2523309337107972,0.2320900082588196,,,0.4696600662630034,0.644765,0.6507676
5,199,0.5107952317004439,0.2731253912249004,0.24963000118732454,,,0.4987192868584435,0.6540338,0.6600162
6,199,0.5274595270389213,0.2912828231574856,0.26594999730587005,,,0.515499475935258,0.65998,0.6659281
7,199,0.5462790008791607,0.3101047060934404,0.2796400010585785,,,0.5341945856407476,0.6657849,0.6711224
8,199,0.5605779076928361,0.32408769457880765,0.29047001004219053,,,0.5486724183650755,0.6698009,0.6739996
9,199,0.5774351051173994,0.3406272382762431,0.3054699957370758,,,0.5658315811148433,0.6765507,0.6812761
10,199,0.5956090097092643,0.35063583723795927,0.3155700027942657,,,0.5840783170901216,0.6830349,0.6875992
11,199,0.6054716490700848,0.36196612268849226,0.32460000216960905,,,0.593825899306223,0.6874123,0.692715
12,199,0.6180796424564614,0.37778716390514544,0.3379800051450729,,,0.6062761597070535,0.692921,0.698405
13,199,0.6272651650911036,0.38685723753526113,0.34623000025749207,,,0.6157743676327649,0.6950074,0.698485
14,199,0.637931916448779,0.3940859167262626,0.3529100000858307,,,0.6264774468227167,0.7000203,0.7042718
15,199,0.6458678455046297,0.40057852918894366,0.35979999601840973,,,0.6342873864396142,0.7031969,0.7076038
16,199,0.6519630545450004,0.40880846727294573,0.36612001061439514,,,0.640499475245667,0.7061287,0.710417
17,199,0.6657840447708573,0.418066052032301,0.37507001161575315,,,0.6545070949811355,0.7112597,0.7152061
18,199,0.6724808848204297,0.42372720169365313,0.3793299973011017,,,0.6613977132651234,0.7142284,0.7175199
19,199,0.6769134694861741,0.4319229879320095,0.3859399974346161,,,0.6658973801721355,0.7161223,0.7193909
20,199,0.6885440437699326,0.43985921648574455,0.3930700242519379,,,0.6773805043254848,0.7207092,0.7235191
21,199,0.6949763346368473,0.4482672681627494,0.4010200023651123,,,0.6843289638472453,0.7245026,0.7277751
22,199,0.7006110774068548,0.4544567362828998,0.40687000155448916,,,0.6898975930281083,0.7262124,0.7287036
23,199,0.7093415092771733,0.46085824170944784,0.4120399981737137,,,0.698550972568158,0.7302149,0.732764
24,199,0.7157603003716336,0.46899318299400117,0.41986000537872314,,,0.7050318246901779,0.7344909,0.7380344
25,199,0.7219178971204473,0.4739106981471427,0.4246999979019165,,,0.7116098475395513,0.7376259,0.7411729
26,199,0.7277315032340337,0.4806814895252298,0.4291200041770935,,,0.717375181560559,0.7382054,0.7399655
27,199,0.7351817282185273,0.4895636399553592,0.43755999505519866,,,0.7250682807638986,0.7434656,0.7462233
28,199,0.7415050539687982,0.49570044596782836,0.4436299979686737,,,0.7315647869429048,0.7452212,0.7473362
29,199,0.7441317695365572,0.5009735260553775,0.4475999981164932,,,0.7340828664228473,0.7476101,0.7507
30,199,0.7529052950025446,0.5057890960680277,0.4546200156211853,,,0.7431020413810635,0.7514218,0.7534861
31,199,0.7560622018667951,0.5106514727117811,0.4587800085544586,,,0.7462809703814983,0.7517838,0.7528992
32,199,0.7602030284155162,0.5170076585233476,0.4645000010728836,,,0.7506130628636889,0.7552948,0.7572677
33,199,0.7691193641816717,0.5232449422648006,0.4724800229072571,,,0.7599356726368954,0.7619428,0.7655036
