seed_final,seed_trajectory,epoch_trajectory,epoch_final,computation_time,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
0,1,-1,199,198.072261095047,0.28546708398251297,0.05275307141338677,0.061320002377033236,,,0.282525855267683,0.588956,0.5887767
0,1,0,199,189.19325304031372,0.5262181827807471,0.09955589074228703,0.11433000639081001,,,0.524396811194703,0.6669174,0.6762843
0,1,1,199,190.81102752685547,0.6207061067699188,0.13098730435690134,0.14907000511884688,,,0.6181649822985225,0.7021385,0.7104291
0,1,2,199,188.23817420005798,0.6639193410134502,0.15385128376648521,0.1687000036239624,,,0.6614058597852644,0.7180419,0.7253848
0,1,3,199,185.0805184841156,0.6845227573593746,0.1685119208991084,0.18212000280618668,,,0.6818544433259998,0.72554,0.7343371
0,1,4,199,183.38998651504517,0.6963163432995477,0.17759289152430044,0.19102999716997146,,,0.6938022298945333,0.7302598,0.7405152
0,1,5,199,195.86330223083496,0.7068363299254183,0.1894513730409349,0.203200002014637,,,0.7041039887102549,0.7335784,0.7409768
0,1,6,199,196.05097889900208,0.7152274220236852,0.19757286847959113,0.21114999949932098,,,0.7126323955205545,0.7362373,0.7435905
0,1,7,199,192.1454336643219,0.7289599577426558,0.20792931262400285,0.22075000256299973,,,0.7264555634305597,0.7420572,0.7506106
0,1,8,199,192.06767416000366,0.7328833634935078,0.21849213700012307,0.23102000057697297,,,0.7301507986669887,0.7435146,0.7521527
0,1,9,199,196.34117913246155,0.7432370901178387,0.2296225378466444,0.23990000486373902,,,0.7405152216049796,0.7472765,0.753699
0,1,10,199,193.6172513961792,0.7494670278503953,0.23624305262944673,0.2472900003194809,,,0.7469762955909225,0.7509962,0.7585526
0,1,11,199,196.24924206733704,0.7572804977348816,0.2472794581871037,0.2548300072550774,,,0.7546853138945586,0.752952,0.7593816
0,1,12,199,203.27240419387817,0.762756032131543,0.253888697541591,0.26382001042366027,,,0.7602365492867404,0.7570535,0.7646837
0,1,13,199,196.11142945289612,0.767555872362398,0.2639408918319468,0.2721299946308136,,,0.7647948190273437,0.7595513,0.7677622
0,1,14,199,198.33313131332397,0.7769526351214158,0.2702622799029149,0.27873999774456026,,,0.7743201879942678,0.7637963,0.7709672
0,1,15,199,189.90643572807312,0.7800594240336822,0.28085345335913103,0.28832000494003296,,,0.777291031643128,0.7652147,0.7719475
0,1,16,199,191.88493394851685,0.7861219060718483,0.29135137742047856,0.2969100117683411,,,0.7833366118254236,0.769101,0.7756012
0,1,17,199,184.25320029258728,0.7864873641011763,0.2977225567591991,0.30436000823974607,,,0.7835189448139027,0.7687312,0.7752119
0,1,18,199,183.06501865386963,0.7961343884073485,0.3079657934001533,0.31313000321388246,,,0.7934254386856863,0.77601,0.7845901
0,1,19,199,181.09969282150269,0.8016434198226319,0.3117837203633609,0.3161100149154663,,,0.7989690821908589,0.7784858,0.7863285
0,1,20,199,178.03175354003906,0.80291398161381,0.31988822167055553,0.3246600031852722,,,0.8001536824602358,0.7794878,0.7869331
0,1,21,199,179.80238437652588,0.8075182770877364,0.32238356175720273,0.3288500040769577,,,0.8048168437384678,0.781764,0.7893454
0,1,22,199,178.95760989189148,0.812696568700747,0.3278375382713298,0.334590008854866,,,0.8100173132548993,0.7853304,0.7946168
0,1,23,199,190.7101013660431,0.8139243213755958,0.3308631933900529,0.3353100061416626,,,0.8112188273354515,0.7862493,0.7944856
0,1,24,199,180.96370887756348,0.8167819772379893,0.33697986625473664,0.3414299935102463,,,0.8140784802165512,0.7875075,0.7959676
0,1,25,199,181.24598360061646,0.8197147647229043,0.34345292677227407,0.3465599983930588,,,0.8170894762057181,0.7886103,0.796539
0,1,26,199,180.62661910057068,0.8269524174987486,0.3477765758583712,0.35239999294281005,,,0.8244888453644914,0.7935149,0.8020501
0,1,27,199,185.40964770317078,0.8261036731741795,0.353698410008239,0.3545100063085556,,,0.8235091536495822,0.7921548,0.7991096
0,1,28,199,186.15378952026367,0.8256869040853194,0.3576220068766638,0.36034999787807465,,,0.823013824517018,0.7924468,0.8009418
0,1,29,199,181.00960683822632,0.8280051180909146,0.35863904417665615,0.3605199992656708,,,0.82534392805541,0.7936598,0.8019085
0,1,30,199,183.23026704788208,0.8347988710927131,0.36055842889895745,0.3656200110912323,,,0.8323643419113538,0.797083,0.804988
0,1,31,199,180.5857481956482,0.8378322361578997,0.36631437259655075,0.3718199998140335,,,0.8354024169075612,0.8009634,0.8100265
0,1,32,199,188.5810296535492,0.8399987196888532,0.37033069669348473,0.3735500156879425,,,0.8375999591356729,0.8005283,0.8090732
0,1,33,199,195.83540296554565,0.8400479802073736,0.3759376956905366,0.3761800050735474,,,0.837586167437237,0.8014174,0.8106103
0,1,34,199,196.44407200813293,0.841963897363655,0.37869276985974165,0.3788399964570999,,,0.8393984225836282,0.8007558,0.8094963
0,1,35,199,196.51054883003235,0.8421712570595385,0.37955402477699574,0.38088001012802125,,,0.8396233311771923,0.802651,0.8119
0,1,36,199,196.54120707511902,0.8463475429508991,0.3847216865138495,0.3853600025177002,,,0.8439985856580189,0.8052773,0.814342
0,1,37,199,202.1208052635193,0.8486151850766254,0.38574290212027146,0.3854400157928467,,,0.8462054356690958,0.8057672,0.814163
0,1,38,199,193.74105882644653,0.8510831648792152,0.38992107652051594,0.3927400171756744,,,0.8487514574490315,0.8085304,0.8178561
0,1,39,199,196.0072100162506,0.8539914862635662,0.3985013398703065,0.3970000147819519,,,0.85162695211146,0.8089355,0.8178129
0,1,40,199,196.4518654346466,0.8541435972230517,0.3962595649596097,0.39603001773357394,,,0.8517386946267665,0.808159,0.8164206
0,1,41,199,203.58495020866394,0.8570081707541334,0.4006573870800998,0.40089999735355375,,,0.8547123498235295,0.8103763,0.8185569
0,1,42,199,195.9035894870758,0.8562749475685081,0.4053911004858343,0.4041700065135956,,,0.8538897760370028,0.8112338,0.8205285
0,1,43,199,192.06741857528687,0.8599146283381426,0.40828066580029787,0.4069900095462799,,,0.8576032014858022,0.8124371,0.820737
0,1,44,199,194.77855944633484,0.8601797866232668,0.409147347158514,0.4075299948453903,,,0.8578759016651711,0.81258,0.8207592
0,1,45,199,185.33245754241943,0.8621496676761439,0.41418785081061654,0.41147000789642335,,,0.8598638793278085,0.8140407,0.8228208
0,1,46,199,185.4301164150238,0.8640477877763544,0.4179913104221068,0.41686001121997834,,,0.8617961779475797,0.8168857,0.8259765
0,1,47,199,190.2881453037262,0.867710286300785,0.422391714458566,0.4201099991798401,,,0.8655431019942229,0.8189148,0.828365
0,1,48,199,183.424663066864,0.8670039454676932,0.42119100400585224,0.42035000324249266,,,0.8648064086210252,0.8183038,0.8269725
0,1,49,199,181.51855373382568,0.8663711132343543,0.4227520928937576,0.419650012254715,,,0.8641124251870143,0.8167823,0.8256364
0,1,50,199,183.98792600631714,0.8671635260325209,0.424414182593989,0.4223700076341629,,,0.8650252568352956,0.8180282,0.8261756
0,1,51,199,184.7460582256317,0.8704826346985101,0.43132918620337896,0.4271600067615509,,,0.8682677507735621,0.8195251,0.8274879
0,1,52,199,180.39859771728516,0.871371237139871,0.4307354896240964,0.4290100038051605,,,0.8691895518393259,0.8199599,0.8286987
0,1,53,199,179.04259276390076,0.8731656577147469,0.4338848916009388,0.43227999806404116,,,0.8709727627787393,0.8221373,0.8311951
0,1,54,199,183.27775192260742,0.8742119295302245,0.43984956246802354,0.4365799963474274,,,0.8720914753793318,0.823219,0.8327488
0,1,55,199,182.3304798603058,0.8726915094079907,0.43744526274440343,0.4345199912786484,,,0.8705227693417616,0.8215434,0.8305836
0,1,56,199,181.59401392936707,0.8759007799747749,0.4416788790834064,0.4386200040578842,,,0.8737041596299029,0.8241342,0.8326687
0,1,57,199,185.98712468147278,0.8759138024789721,0.4396895070803139,0.4394900262355804,,,0.8737195084920361,0.8241847,0.8333939
0,1,58,199,189.2183005809784,0.8791147444694927,0.44311986216547006,0.441820016503334,,,0.8770541089497473,0.8257774,0.8346607
0,1,59,199,180.85082268714905,0.8786632672215031,0.44613421997582253,0.4441199988126755,,,0.8766243657635947,0.8263916,0.8357958
0,1,60,199,181.65315055847168,0.8769379199614586,0.4492925452031266,0.44642001390457153,,,0.8747595120027503,0.8250582,0.834105
0,1,61,199,183.39265394210815,0.8803018414426736,0.4512837022475543,0.4489500105381012,,,0.8782672076840924,0.8276904,0.8369609
0,1,62,199,184.4163053035736,0.8792098191971585,0.45209611185967835,0.4485499978065491,,,0.8770722799571053,0.8260519,0.8345705
0,1,63,199,184.1397716999054,0.8806455450275295,0.454196904882048,0.4505699872970581,,,0.8784985959378884,0.8268583,0.8353475
0,1,64,199,183.17483973503113,0.8819924911050597,0.453672131924177,0.4536800026893616,,,0.8799489867428537,0.8290364,0.838097
0,1,65,199,183.9738962650299,0.8841166666847334,0.4594137201723383,0.45672001838684084,,,0.8820952410289157,0.8305609,0.8398545
0,1,66,199,184.51873993873596,0.8861885312122201,0.463093100929928,0.46087999641895294,,,0.8842249327612156,0.8317248,0.8405361
0,1,67,199,187.88223814964294,0.8861696706000766,0.4626732113263417,0.4590900123119354,,,0.8842102866869367,0.8315498,0.8405264
0,1,68,199,181.6944351196289,0.8881145743868759,0.46230590585778275,0.46216000020504,,,0.8861592309654309,0.8332113,0.8423117
0,1,69,199,183.2267210483551,0.8878117332610144,0.4674317440776094,0.46433001160621645,,,0.8858126654360134,0.8322819,0.8415432
0,1,70,199,183.0563657283783,0.8883699686520927,0.46770986285805805,0.4644100069999695,,,0.8863872924253225,0.8328256,0.8414311
0,1,71,199,180.54415893554688,0.8884402081159346,0.4704025472942338,0.46649000644683836,,,0.8864198744973214,0.8331165,0.8419668
0,1,72,199,183.22686052322388,0.8899169381296341,0.47117951635007954,0.46845999360084534,,,0.8879323674076932,0.8343881,0.8433343
0,1,73,199,184.10102152824402,0.8902065315150176,0.47169226046007706,0.4688100039958954,,,0.8882592356937318,0.835125,0.8441814
0,1,74,199,184.1163113117218,0.8903574819175286,0.47209265653480975,0.47028000354766847,,,0.8884522231324711,0.8350045,0.8443215
0,1,75,199,183.46554517745972,0.8927983160975679,0.47752796272200115,0.4737800061702728,,,0.8908605163082776,0.8368125,0.8456306
0,1,76,199,184.18687295913696,0.8919109198132817,0.47567128694277877,0.4704699993133545,,,0.8899424048942403,0.8358458,0.8447135
0,1,77,199,186.0561671257019,0.8925515968100278,0.47918533085782455,0.4740099996328354,,,0.890625366740681,0.8367996,0.8459828
0,1,78,199,178.1716365814209,0.8914836883436387,0.4752025912863115,0.4720999985933304,,,0.8895053850283563,0.8353169,0.8442189
0,1,79,199,183.4400396347046,0.8926336997793705,0.4794330689301211,0.47469001114368437,,,0.8906392667180615,0.8367322,0.8456262
0,1,80,199,180.30747079849243,0.8948238267390447,0.4789213522118196,0.47660000920295714,,,0.8929513684019443,0.8383648,0.8474568
0,1,81,199,182.41278338432312,0.8940168670679378,0.4803596537157868,0.4751000076532364,,,0.892112693804755,0.8376876,0.8465554
0,1,82,199,188.17827081680298,0.8955989426880313,0.4814274188214733,0.47803000807762147,,,0.8936997048944594,0.8387404,0.8473591
0,1,83,199,181.82566785812378,0.8955087620283777,0.4841109733725465,0.477799990773201,,,0.8935817197171877,0.8390164,0.8479176
0,1,84,199,183.0735161304474,0.8948131138361145,0.4837457661498076,0.4797199934720993,,,0.892883609934819,0.838573,0.8470897
0,1,85,199,182.59139132499695,0.8950295865430992,0.4851852950843935,0.48170000612735747,,,0.8931052609029183,0.8386867,0.8479067
