epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.28145005836011017,0.0525610000752438,0.061500003561377525,,,0.2785147893315967,0.587948,0.5879652
0,199,0.5213426592174584,0.10153270843040989,0.1185200072824955,,,0.5192561908355809,0.6662191,0.6735635
1,199,0.6193297326630224,0.1357489919772366,0.15348000824451447,,,0.6168213796673516,0.701536,0.7094748
2,199,0.6627433629719297,0.1515682261772937,0.17089000046253205,,,0.6603949955983623,0.7188387,0.7287285
3,199,0.6798178032656274,0.16112381678899873,0.1787100076675415,,,0.677432407957667,0.7250556,0.7350086
4,199,0.6925920460136484,0.17161203041717502,0.1871500015258789,,,0.6901055995931595,0.7291058,0.7373725
5,199,0.7088397934017756,0.18799525300914363,0.19975000321865083,,,0.7064498966641908,0.7354082,0.745872
6,199,0.7198292336297465,0.19795278226455199,0.20803000032901764,,,0.7175551162579736,0.7384578,0.7464229
7,199,0.7302055218189294,0.21012231332551648,0.21804000288248063,,,0.7277371567085174,0.7426123,0.7506555
8,199,0.736464845335213,0.215938397428224,0.226979997754097,,,0.7341208145893445,0.7456826,0.753927
9,199,0.7384343136999243,0.2271877440225988,0.23479999452829362,,,0.735855767134007,0.7468065,0.7541009
10,199,0.7549445509409741,0.2355140901075005,0.2418000042438507,,,0.7524690991178311,0.751901,0.75825
11,199,0.7595893353284303,0.24717659918162305,0.2535199999809265,,,0.7571440400911448,0.7567478,0.7645687
12,199,0.7667610656035402,0.2528731182985858,0.2595600038766861,,,0.7641936894220197,0.7579577,0.764293
13,199,0.7725535030669308,0.2616501271390173,0.2694600045681,,,0.7701681408050514,0.7624269,0.7709106
14,199,0.7782374106432652,0.271405828677611,0.2795799970626831,,,0.7756950419142246,0.765565,0.7730727
15,199,0.7783799310263161,0.2795463506052555,0.2870699942111969,,,0.7757427842439623,0.7674412,0.7749528
16,199,0.7859861668363644,0.2839061799530483,0.29355000853538515,,,0.7834246684207443,0.7706594,0.7785244
17,199,0.7912707326642089,0.29524423072870165,0.3030999958515167,,,0.7884758720757782,0.7734307,0.779904
18,199,0.8022668013660385,0.3043511139837887,0.3117800086736679,,,0.7996382133199671,0.7790673,0.786093
19,199,0.8046164393190292,0.3118811387372737,0.3197499841451645,,,0.8019765565198613,0.7803111,0.787434
20,199,0.8107294489669636,0.32061484565339116,0.3252099990844727,,,0.808134757375009,0.7831728,0.790191
21,199,0.8166517085982431,0.3292854334836665,0.3372900068759918,,,0.8141196609663329,0.7881707,0.7957757
22,199,0.8200285138665733,0.33920429436752136,0.3436200022697449,,,0.8174746009856108,0.7903947,0.7987084
23,199,0.8236819259277933,0.34184747118001774,0.3473300039768219,,,0.8212717623431044,0.7917037,0.7979299
24,199,0.8286352551601492,0.35220361698972924,0.3572899967432022,,,0.8262065518649685,0.7951001,0.8025987
25,199,0.8352441506003123,0.3618107935118589,0.3656100004911423,,,0.8327981685417989,0.798281,0.8043007
26,199,0.8354259543691527,0.3653482308550146,0.3687700152397156,,,0.8328859145216606,0.7980918,0.8050043
27,199,0.8401063919294112,0.3753456417518096,0.376309996843338,,,0.837724586063097,0.8017091,0.808436
28,199,0.8448805873763441,0.3811923197494579,0.3843500018119812,,,0.8425579098608252,0.805695,0.8135479
29,199,0.8464295683358734,0.3880215602743864,0.38836000561714173,,,0.8440844878214526,0.8068915,0.8148912
30,199,0.850628116542309,0.3962333828728232,0.3962700068950653,,,0.848260700218088,0.8088612,0.8155618
31,199,0.8534517425873227,0.4043346403577587,0.40249001085758207,,,0.8511273225322437,0.8095822,0.8159548
32,199,0.8600997107488808,0.4153821509686761,0.41233000755310056,,,0.8578376627927595,0.8147173,0.8226495
33,199,0.8629080278537646,0.41285642428061653,0.4120000123977661,,,0.8607903600449904,0.8149833,0.821365
34,199,0.8656703799591507,0.4202011175804958,0.4183200031518936,,,0.8635298689061414,0.8180135,0.8241646
35,199,0.8704216701482949,0.43110963324232215,0.42956999242305755,,,0.8683271348863512,0.8226701,0.8306269
36,199,0.8713122794495695,0.43547906853606183,0.4333400011062622,,,0.8691596745414206,0.8222672,0.8285776
37,199,0.8756353945274011,0.4453791513690272,0.44101001024246217,,,0.8736714372405683,0.8260712,0.8342077
38,199,0.8767733294700557,0.44996680371252495,0.4459600031375885,,,0.8747442390012432,0.8249634,0.8315961
39,199,0.8798684970061743,0.454278934871912,0.44937999844551085,,,0.877915676926615,0.8285486,0.8351109
40,199,0.8816453838681262,0.4588897575661547,0.45347999930381777,,,0.8796788643077346,0.8282513,0.8340951
41,199,0.8837447005004346,0.46479509889196635,0.4592200040817261,,,0.8817453318236661,0.8302398,0.8358046
42,199,0.8878229980749728,0.4711512330288191,0.46737000346183777,,,0.8860052747571018,0.8348421,0.8426696
43,199,0.8909498107473597,0.4758308532387656,0.47360000014305115,,,0.8891080647256204,0.8371396,0.8448574
44,199,0.8914940183334382,0.4836849057689581,0.47911000847816465,,,0.8896986413780549,0.8380546,0.8453286
45,199,0.8958099899224742,0.4880902293746311,0.4842899918556213,,,0.8940574717565628,0.8390059,0.8440643
46,199,0.8969352154976328,0.4902663047570902,0.4874300003051758,,,0.8951697924864157,0.8406877,0.8475457
47,199,0.9032055439142816,0.502036173841564,0.49828999638557436,,,0.9015700239649039,0.8456732,0.8525147
48,199,0.9012662097955619,0.503114723082229,0.4996000021696091,,,0.8996462877173796,0.8454039,0.8523069
49,199,0.9064032255396126,0.5093488968484542,0.506080013513565,,,0.9048683746885636,0.8484799,0.8552733
50,199,0.9072329686901277,0.5138002529211672,0.5091400027275086,,,0.905681294548753,0.8495632,0.8565986
51,199,0.9105210248405392,0.5227837849158847,0.5178399920463562,,,0.9090083469704429,0.8509353,0.8566455
52,199,0.912334252223612,0.5290143000965253,0.5228399991989136,,,0.9108046262057978,0.8535345,0.8599258
53,199,0.9147449682725041,0.5343277847397606,0.5290899932384491,,,0.9132485309131582,0.8543984,0.8592135
54,199,0.9173338647369077,0.5397287360129903,0.5344400048255921,,,0.9158816281267991,0.8568927,0.8627131
55,199,0.9195849848825498,0.5455072350189804,0.5394499957561493,,,0.9181823928026751,0.8592516,0.8655747
56,199,0.9189666420118318,0.5488601892557667,0.543309998512268,,,0.9175098720878375,0.8589958,0.864611
57,199,0.9216609479828575,0.5543324775668597,0.548770010471344,,,0.9202806645539563,0.8609962,0.8666614
58,199,0.9235186116330123,0.5625973759115114,0.5535799920558929,,,0.9221799935392266,0.8632883,0.8696178
59,199,0.9272448931120433,0.5670022259082411,0.559339988231659,,,0.9259590465921744,0.8656036,0.8709468
60,199,0.925852202465892,0.5698960226648706,0.56110999584198,,,0.9244938048980363,0.8648363,0.8703591
61,199,0.9306051339751011,0.5790031653538326,0.5689199864864349,,,0.9294039136856741,0.8691976,0.8748607
62,199,0.9321023143772514,0.5869145942696976,0.5760600090026855,,,0.930969242858521,0.8713017,0.8772141
63,199,0.9337579619420164,0.5873016703646355,0.5787199974060059,,,0.932597439761638,0.8728859,0.87919
64,199,0.9363469341932598,0.5964276639997625,0.5855000138282775,,,0.9352006667134154,0.8742957,0.8797534
65,199,0.9350251191207739,0.5948953515041483,0.5853800117969513,,,0.9338687654945969,0.8729404,0.8784654
66,199,0.9386779254304125,0.6006095613365624,0.5936199963092804,,,0.937603976057269,0.8777569,0.8835184
67,199,0.9395671015723994,0.6069348556054077,0.5972799837589264,,,0.938492429752762,0.8787851,0.8841673
68,199,0.9406627643030756,0.6135394804957226,0.6015100002288818,,,0.9395751890226942,0.8789556,0.8843708
69,199,0.9423611806023576,0.6178558034064855,0.608810019493103,,,0.9413261578666693,0.8812431,0.8867261
70,199,0.9455851721530081,0.6243963171685147,0.6149300277233124,,,0.9446376513247222,0.883742,0.8875176
71,199,0.9468138766243023,0.6302582316863948,0.6197999894618988,,,0.9458559751026423,0.8855802,0.8910045
72,199,0.9475767003467717,0.6308466640679613,0.6224699854850769,,,0.94663687812128,0.8867783,0.8922085
73,199,0.949393718445721,0.6396922988996344,0.6275900065898895,,,0.9484725385394865,0.8881329,0.8931175
74,199,0.9498883071698124,0.6427893778070448,0.6313599824905396,,,0.9489765994580264,0.8891181,0.8944646
75,199,0.9522022965487997,0.64985239874201,0.6377999961376191,,,0.9513105117392315,0.8911989,0.8964453
76,199,0.9519539044795312,0.6518903405179302,0.6400099992752075,,,0.9510610479875727,0.891184,0.8966234
77,199,0.9526926281721213,0.6563624100607757,0.6434599876403808,,,0.9518496831055155,0.8916101,0.8965009
78,199,0.9525261686147581,0.6539104117017476,0.644020003080368,,,0.9516905992480248,0.8918598,0.8961881
79,199,0.9570170592220816,0.6661711438627893,0.6545999884605408,,,0.9562134654516871,0.8968611,0.9011933
80,199,0.9589265171805064,0.6724296014234964,0.6603700041770935,,,0.9581523140389496,0.8984236,0.9025109
81,199,0.9580226140014936,0.6703709485514275,0.6598700046539306,,,0.9572583625113635,0.8971768,0.901067
82,199,0.959850577774087,0.679451819513895,0.6680300056934356,,,0.9590946567246791,0.9005104,0.9049611
83,199,0.9615451097161012,0.6810972867097524,0.6700699925422668,,,0.9608482113009967,0.9023672,0.906454
84,199,0.9625657401180717,0.6897909359810241,0.6767099857330322,,,0.9618816434636618,0.9039119,0.9082183
85,199,0.9625308244408742,0.6944930451122071,0.678409993648529,,,0.9618224030371624,0.9041747,0.9085259
86,199,0.9637832061572329,0.6985343294615014,0.6848400056362152,,,0.9631217068103854,0.9062661,0.9104938
87,199,0.9642505154929257,0.6953260756969251,0.6855399966239929,,,0.9635912831116225,0.9064832,0.9110941
88,199,0.965597263133106,0.700382436399571,0.6899999976158142,,,0.964946574924678,0.9080996,0.912935
89,199,0.9653565992252908,0.7037340934703085,0.6910300076007843,,,0.9646912838621188,0.9073256,0.9114874
90,199,0.9663481449664086,0.7057998731119346,0.6965399980545044,,,0.9657181572859271,0.9091544,0.9131437
91,199,0.9684637934083231,0.7112034451605576,0.6998199820518494,,,0.967878606949008,0.9118563,0.9159586
92,199,0.9680028329488117,0.7103369723160396,0.6999900162220001,,,0.9674066433357043,0.9103666,0.9139489
93,199,0.9690536944333429,0.7176818480845985,0.7079600155353546,,,0.9684650885586816,0.9128537,0.9162907
94,199,0.9699143990524256,0.724180039858873,0.7116000175476074,,,0.9693580922433392,0.9136023,0.917082
95,199,0.9697868046335856,0.725003058325467,0.7130500078201294,,,0.9692134161538986,0.9142471,0.918128
