seed_final,seed_trajectory,epoch_trajectory,epoch_final,computation_time,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
0,1,199,199,184.35956025123596,0.9080868584786973,0.5132433059363029,0.5100099861621856,,,0.906284253509603,0.8481798,0.8571526
1,2,199,199,196.48285245895386,0.9104414952552169,0.5122000556711058,0.5097400158643722,,,0.9087062190396789,0.8495859,0.8586969
2,3,199,199,199.5300054550171,0.9107472552704261,0.509505618149557,0.5101000010967255,,,0.9089748848431275,0.8496712,0.8589047
3,4,199,199,187.37002158164978,0.9086895081049793,0.5074074608369415,0.5052599966526031,,,0.9069249636916279,0.8488034,0.8584457
4,0,199,199,175.8777527809143,0.9067348551367,0.510451255061126,0.5067400127649307,,,0.9049030359769312,0.8474992,0.8566294
