epoch,compared_to,B-CKA,B-CKNNA,B-MutualNN,B-SVCCA,B-PWCCA,C-CKA,C-TSI,C-QSI
-1,199,0.28176419421990284,0.05094956109533104,0.059450003877282144,,,0.27890322674308077,0.5878434,0.5875097
0,199,0.5247958658387543,0.10032771222160757,0.11277000531554222,,,0.522972188068584,0.6652639,0.6729308
1,199,0.6291461299798934,0.1321678939321664,0.14900000989437104,,,0.6267481330057451,0.7050076,0.7141217
2,199,0.66530492374785,0.15430715455768143,0.16962000131607055,,,0.6628947079151507,0.7195973,0.7298153
3,199,0.684319990949865,0.16531147996782242,0.18112000226974487,,,0.6818602338832068,0.7273552,0.73813
4,199,0.694253291401755,0.17405837077721517,0.18923000395298004,,,0.6916368059054209,0.7315074,0.7415917
5,199,0.7131814894689942,0.18798360862731173,0.20284000635147095,,,0.7107876347362243,0.7392564,0.7485097
6,199,0.7192845469151166,0.1937463171002421,0.207580004632473,,,0.7168561508095417,0.741703,0.7498706
7,199,0.73147286941864,0.20863931653482298,0.2204799994826317,,,0.7290196628080479,0.7467467,0.7561868
8,199,0.7415159923993089,0.21734303692956541,0.23156000077724456,,,0.7391680917602795,0.7513527,0.7606855
9,199,0.749548404685584,0.22826839684956504,0.24026999473571778,,,0.747029147885668,0.7541417,0.760627
10,199,0.7574941680445214,0.2368217188739671,0.2508000016212463,,,0.7549607992099301,0.7583192,0.7669501
11,199,0.7600276008000149,0.2448088966519253,0.2561600014567375,,,0.7573515385767353,0.7581062,0.765608
12,199,0.7681868914425461,0.2563508288371573,0.2668000042438507,,,0.7656468680289106,0.7645869,0.7729723
13,199,0.774499976260614,0.26280084023796946,0.276310008764267,,,0.7718060581545063,0.7666993,0.7756827
14,199,0.7802288234736243,0.27282457424661494,0.28418999910354614,,,0.7776560844783924,0.7707408,0.779592
15,199,0.7867198482021743,0.28214284956901725,0.2945600122213364,,,0.7841486214227787,0.7735873,0.781858
16,199,0.7933501303127347,0.29176726866805885,0.30277000963687895,,,0.7906713065424835,0.7769594,0.7847063
17,199,0.7970458466658393,0.3001722252799416,0.3084899991750717,,,0.7947000347450297,0.7795231,0.7878909
18,199,0.8070928348735154,0.3106667354627517,0.31779000759124754,,,0.804611683920266,0.7846097,0.7932837
19,199,0.8127330714937191,0.3178386604210156,0.32603999972343445,,,0.8102784723050253,0.7885077,0.7972497
20,199,0.8174197951076637,0.32899112749931103,0.3353700041770935,,,0.8150615078791396,0.7905899,0.7989592
21,199,0.8253636445537227,0.3366527554247932,0.3414700090885162,,,0.8230644092842617,0.793849,0.8023152
